UserGestureID,UserID,GestureID,GestureData,CreationDate,UpdationDate
1,9623917503,1,"624 119 46,620 119 124,615 119 140,602 119 155,575 119 181,556 119 202,545 119 223,535 121 238,524 127 261,509 137 272,496 147 290,485 155 301,478 161 317,472 169 327,469 177 343,465 183 359,464 187 374,462 193 384,462 199 405,460 203 415,457 206 437,459 213 452,462 219 468,463 224 471,467 231 488,470 236 499,476 244 520,482 249 535,487 255 551,493 259 567,499 263 577,512 267 593,532 271 613,561 271 629,581 272 645,604 271 667,618 271 681,627 270 702,636 269 718,641 269 728,644 269 754,647 270 768,650 274 785,655 278 801,660 282 817,667 290 832,674 299 848,679 307 863,685 316 874,691 330 895,692 340 909,692 358 921,692 364 936,692 375 956,687 382 968,683 387 983,678 391 999,672 397 1004,674 414 1020,673 427 1038,664 438 1070,640 442 1136,583 427 1236,500 367 1416","2023-02-26 14:36:13","2023-02-26 14:36:13"
2,9623917503,1,"599 112 91,580 115 174,561 119 215,528 128 272,497 138 320,480 146 361,463 158 402,449 172 445,443 188 481,443 210 517,452 226 546,465 242 582,478 253 623,502 255 662,547 248 693,582 246 720,612 250 759,642 258 796,660 264 821,678 277 851,694 293 888,705 310 915,714 326 941,718 351 977,712 371 1006,699 391 1028,683 407 1062,658 423 1095,624 435 1131,586 445 1160,551 450 1198,522 446 1246,492 435 1299,457 412 1331,443 406 1349,432 400 1397,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0,-44 15 0","2023-02-26 14:36:27","2023-02-26 14:36:27"
3,9623917503,1,"627 119 147,594 119 243,572 121 290,544 130 347,522 145 397,510 164 455,502 203 520,504 227 575,517 242 630,536 250 683,577 251 744,623 254 796,652 265 846,683 290 908,709 322 955,722 371 1017,685 421 1093,585 436 1178,451 399 1257,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0,12 30 0","2023-02-26 14:36:35","2023-02-26 14:36:35"
4,9623917503,1,"615 116 134,554 126 237,517 150 299,494 191 365,490 231 430,512 260 507,562 271 578,609 286 639,648 315 705,681 362 780,672 411 856,609 440 926,535 441 984,472 423 1064,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0,28 35 0","2023-02-26 14:36:43","2023-02-26 14:36:43"
5,9623917503,1,"584 119 89,550 116 179,504 126 252,468 165 332,459 216 412,496 261 489,562 278 564,620 289 637,674 323 715,700 372 811,636 431 920,527 442 1025,463 431 1122,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0,-44 -5 0","2023-02-26 14:36:51","2023-02-26 14:36:51"
6,9623917503,1,"566 96 171,460 137 318,437 186 421,461 235 524,565 268 614,649 304 700,710 400 828,610 462 933,464 460 1030,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0,-40 2 0","2023-02-26 14:36:59","2023-02-26 14:36:59"
7,9623917503,1,"545 99 163,499 103 300,460 128 404,444 166 524,466 212 659,568 249 784,657 312 877,707 388 988,629 452 1108,538 462 1184,457 445 1318,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0,-71 26 0","2023-02-26 14:37:08","2023-02-26 14:37:08"
8,9623917503,1,"686 81 188,574 92 352,493 185 483,499 261 626,576 290 769,650 315 919,713 416 1111,625 484 1255,464 471 1372,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0,17 15 0","2023-02-26 14:37:16","2023-02-26 14:37:16"
9,9623917503,1,"559 116 177,463 126 353,449 220 553,566 268 714,697 323 872,674 431 1057,476 436 1234,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0,-83 27 0","2023-02-26 14:37:24","2023-02-26 14:37:24"
10,9623917503,1,"609 107 233,515 122 416,457 181 588,508 252 787,661 311 992,668 424 1214,505 447 1394,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0,-6 58 0","2023-02-26 14:37:32","2023-02-26 14:37:32"
